X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
4.35778674,50.84119849,0,0,143,127.68,2022-07-20 06:59:31+00,,,,,,,,,,,,,,,,,,,,,,
4.35762655,50.84110871,0,0,144,128.2,2022-07-20 06:59:33+00,,,,,,,,,,,,,,,,,,,,,,
4.35748093,50.84100644,0,0,145,127.59,2022-07-20 06:59:35+00,,,,,,,,,,,,,,,,,,,,,,
4.35732208,50.84088843,0,0,146,126.49,2022-07-20 06:59:37+00,,,,,,,,,,,,,,,,,,,,,,
4.35723796,50.84080979,0,0,147,125.6,2022-07-20 06:59:38+00,,,,,,,,,,,,,,,,,,,,,,
4.35708531,50.8406586,0,0,148,123.63,2022-07-20 06:59:40+00,,,,,,,,,,,,,,,,,,,,,,
4.35691943,50.84051511,0,0,149,122.3,2022-07-20 06:59:42+00,,,,,,,,,,,,,,,,,,,,,,
4.35676693,50.84038639,0,0,150,121.57,2022-07-20 06:59:44+00,,,,,,,,,,,,,,,,,,,,,,
4.35667268,50.84029457,0,0,151,120.26,2022-07-20 06:59:46+00,,,,,,,,,,,,,,,,,,,,,,
4.35657701,50.840193,0,0,152,120.14,2022-07-20 06:59:49+00,,,,,,,,,,,,,,,,,,,,,,
4.35649714,50.84011123,0,0,153,119.79,2022-07-20 07:00:12+00,,,,,,,,,,,,,,,,,,,,,,
4.35637164,50.8400205,0,0,154,117.15,2022-07-20 07:00:15+00,,,,,,,,,,,,,,,,,,,,,,
4.35623532,50.83993263,0,0,155,115.38,2022-07-20 07:00:17+00,,,,,,,,,,,,,,,,,,,,,,
4.35608453,50.83983675,0,0,156,114.16,2022-07-20 07:00:19+00,,,,,,,,,,,,,,,,,,,,,,
4.35592268,50.83972806,0,0,157,114.04,2022-07-20 07:00:21+00,,,,,,,,,,,,,,,,,,,,,,
4.35577202,50.83962155,0,0,158,114.26,2022-07-20 07:00:23+00,,,,,,,,,,,,,,,,,,,,,,
4.35562189,50.83951551,0,0,159,114.36,2022-07-20 07:00:25+00,,,,,,,,,,,,,,,,,,,,,,
4.35546657,50.83940742,0,0,160,114.76,2022-07-20 07:00:27+00,,,,,,,,,,,,,,,,,,,,,,
4.35532137,50.83930325,0,0,161,115.16,2022-07-20 07:00:29+00,,,,,,,,,,,,,,,,,,,,,,
4.35518443,50.83920346,0,0,162,115.59,2022-07-20 07:00:31+00,,,,,,,,,,,,,,,,,,,,,,
4.35506633,50.83911621,0,0,163,115.99,2022-07-20 07:00:33+00,,,,,,,,,,,,,,,,,,,,,,
4.35494408,50.83902623,0,0,164,116.77,2022-07-20 07:00:35+00,,,,,,,,,,,,,,,,,,,,,,
4.35481871,50.83893124,0,0,165,118.59,2022-07-20 07:00:37+00,,,,,,,,,,,,,,,,,,,,,,
4.35469661,50.83884064,0,0,166,121.09,2022-07-20 07:00:39+00,,,,,,,,,,,,,,,,,,,,,,
4.3545736,50.83875527,0,0,167,123.8,2022-07-20 07:00:41+00,,,,,,,,,,,,,,,,,,,,,,
4.3544455,50.83866618,0,0,168,126.75,2022-07-20 07:00:43+00,,,,,,,,,,,,,,,,,,,,,,
4.35432084,50.83857714,0,0,169,129.82,2022-07-20 07:00:45+00,,,,,,,,,,,,,,,,,,,,,,
4.35420038,50.83849821,0,0,170,133.03,2022-07-20 07:00:47+00,,,,,,,,,,,,,,,,,,,,,,
4.35407133,50.83840615,0,0,171,136.55,2022-07-20 07:00:49+00,,,,,,,,,,,,,,,,,,,,,,
4.35391623,50.83829939,0,0,172,138.86,2022-07-20 07:00:51+00,,,,,,,,,,,,,,,,,,,,,,
4.35377543,50.83820129,0,0,173,140.95,2022-07-20 07:00:53+00,,,,,,,,,,,,,,,,,,,,,,
4.35361457,50.83808927,0,0,174,139.98,2022-07-20 07:00:55+00,,,,,,,,,,,,,,,,,,,,,,
4.35347806,50.83800826,0,0,175,137.83,2022-07-20 07:00:56+00,,,,,,,,,,,,,,,,,,,,,,
4.35337674,50.83794239,0,0,176,135.78,2022-07-20 07:00:57+00,,,,,,,,,,,,,,,,,,,,,,
4.35321386,50.83782987,0,0,177,132,2022-07-20 07:00:59+00,,,,,,,,,,,,,,,,,,,,,,
4.35308477,50.83774558,0,0,178,128.58,2022-07-20 07:01:01+00,,,,,,,,,,,,,,,,,,,,,,
4.35297271,50.83767004,0,0,179,125.68,2022-07-20 07:01:04+00,,,,,,,,,,,,,,,,,,,,,,
4.35288768,50.83757712,0,0,180,123.68,2022-07-20 07:01:07+00,,,,,,,,,,,,,,,,,,,,,,
4.35288885,50.83745677,0,0,181,122.65,2022-07-20 07:01:10+00,,,,,,,,,,,,,,,,,,,,,,
4.35293055,50.83733802,0,0,182,122.4,2022-07-20 07:01:13+00,,,,,,,,,,,,,,,,,,,,,,
4.35301698,50.83723096,0,0,183,121.44,2022-07-20 07:01:16+00,,,,,,,,,,,,,,,,,,,,,,
4.35313185,50.83714338,0,0,184,121.11,2022-07-20 07:01:19+00,,,,,,,,,,,,,,,,,,,,,,
4.3532308,50.83707602,0,0,185,120.97,2022-07-20 07:01:22+00,,,,,,,,,,,,,,,,,,,,,,
4.35332805,50.83700376,0,0,186,120.99,2022-07-20 07:01:25+00,,,,,,,,,,,,,,,,,,,,,,
4.35345982,50.83691049,0,0,187,122.32,2022-07-20 07:01:51+00,,,,,,,,,,,,,,,,,,,,,,
4.35356903,50.83683547,0,0,188,125.79,2022-07-20 07:01:53+00,,,,,,,,,,,,,,,,,,,,,,
4.3536307,50.83675325,0,0,189,127.75,2022-07-20 07:01:56+00,,,,,,,,,,,,,,,,,,,,,,
4.35367333,50.83666088,0,0,190,128.4,2022-07-20 07:01:59+00,,,,,,,,,,,,,,,,,,,,,,
4.35377439,50.83654264,0,0,191,128.56,2022-07-20 07:02:02+00,,,,,,,,,,,,,,,,,,,,,,
4.35386427,50.83646223,0,0,192,128.43,2022-07-20 07:02:04+00,,,,,,,,,,,,,,,,,,,,,,
4.35397091,50.83636652,0,0,193,128.46,2022-07-20 07:02:07+00,,,,,,,,,,,,,,,,,,,,,,
4.35405514,50.83629334,0,0,194,128.59,2022-07-20 07:02:09+00,,,,,,,,,,,,,,,,,,,,,,
4.35417761,50.83619956,0,0,195,129.01,2022-07-20 07:02:12+00,,,,,,,,,,,,,,,,,,,,,,
