"t","longitude","latitude","x","y","label"
"154","2021-11-14 15:31:10",12.314693,56.134032,705970.593357734,6225946.52647825,"01-sailing"
"155","2021-11-14 15:31:18",12.31488,56.134268,705980.945903175,6225973.33514175,"01-sailing"
"156","2021-11-14 15:31:30",12.315163,56.134623,705996.624374423,6226013.66688805,"01-sailing"
"157","2021-11-14 15:31:39",12.315377,56.13489,706008.487689852,6226044.00439072,"01-sailing"
"158","2021-11-14 15:31:49",12.315628,56.135223,706022.295757809,6226081.79360018,"01-sailing"
"159","2021-11-14 15:32:00",12.315845,56.135532,706034.120237384,6226116.81176935,"01-sailing"
"160","2021-11-14 15:32:10",12.31606,56.135845,706045.798868556,6226152.26891632,"01-sailing"
"161","2021-11-14 15:32:18",12.31624,56.136095,706055.64062437,6226180.61407583,"01-sailing"
"162","2021-11-14 15:32:30",12.316515,56.13647,706070.713518557,6226223.14680702,"01-sailing"
"163","2021-11-14 15:32:39",12.316713,56.13675,706081.51226385,6226254.88270192,"01-sailing"
"164","2021-11-14 15:32:49",12.31695,56.137097,706094.374366956,6226294.18754372,"01-sailing"
"165","2021-11-14 15:33:00",12.317168,56.13741,706106.238179787,6226329.65384916,"01-sailing"
"166","2021-11-14 15:33:10",12.317385,56.137728,706118.012889961,6226365.67334872,"01-sailing"
"167","2021-11-14 15:33:18",12.31758,56.137982,706128.763700378,6226394.50845872,"01-sailing"
"168","2021-11-14 15:33:30",12.317877,56.13836,706145.185144056,6226437.44094826,"01-sailing"
"169","2021-11-14 15:33:34",12.317955,56.138488,706149.343959232,6226451.91146608,"01-sailing"
"170","2021-11-14 15:33:35",12.317997,56.138555,706151.593604993,6226459.48938339,"01-sailing"
"171","2021-11-14 15:33:39",12.318037,56.138655,706153.542322592,6226470.73188028,"01-sailing"
"172","2021-11-14 15:33:43",12.318108,56.138787,706157.24491279,6226485.62639455,"01-sailing"
"173","2021-11-14 15:33:46",12.318153,56.138887,706159.504118096,6226496.88384466,"01-sailing"
"174","2021-11-14 15:33:49",12.318213,56.13902,706162.518153204,6226511.85670422,"01-sailing"
"175","2021-11-14 15:33:53",12.318257,56.139122,706164.704508553,6226523.33362598,"01-sailing"
"176","2021-11-14 15:33:59",12.318338,56.139323,706168.658513591,6226545.93285608,"01-sailing"
"177","2021-11-14 15:34:10",12.318482,56.139702,706175.571681219,6226588.51923967,"01-sailing"
"178","2021-11-14 15:34:18",12.318583,56.139978,706180.365901581,6226619.52046614,"01-sailing"
"179","2021-11-14 15:34:30",12.31874,56.140387,706187.925395054,6226665.4826226,"01-sailing"
"180","2021-11-14 15:34:39",12.318857,56.140697,706193.530887658,6226700.31350368,"01-sailing"
"181","2021-11-14 15:34:49",12.319005,56.141075,706200.697143226,6226742.80067761,"01-sailing"
"182","2021-11-14 15:34:59",12.319115,56.141388,706205.851585964,6226777.94433423,"01-sailing"
"183","2021-11-14 15:35:10",12.319262,56.141767,706212.950044569,6226820.53977539,"01-sailing"
"184","2021-11-14 15:35:18",12.31936,56.142042,706217.562601497,6226851.42085991,"01-sailing"
"185","2021-11-14 15:35:30",12.319522,56.142453,706225.420780079,6226897.62052238,"01-sailing"
"186","2021-11-14 15:35:39",12.319655,56.142762,706232.024375822,6226932.38810229,"01-sailing"
"187","2021-11-14 15:35:49",12.319772,56.143143,706237.248500949,6226975.11632433,"01-sailing"
"188","2021-11-14 15:35:51",12.31978,56.143178,706237.557753953,6226979.03326956,"01-sailing"
"189","2021-11-14 15:35:53",12.319795,56.143248,706238.114159654,6226986.8641689,"01-sailing"
"190","2021-11-14 15:35:57",12.319812,56.143392,706238.398265301,6227002.9319976,"01-sailing"
"191","2021-11-14 15:35:59",12.319822,56.143463,706238.63881818,6227010.85916996,"01-sailing"
"192","2021-11-14 15:36:03",12.319835,56.143607,706238.674522567,6227026.91503401,"01-sailing"
"193","2021-11-14 15:36:07",12.319853,56.143747,706239.042134603,6227042.54093869,"01-sailing"
"194","2021-11-14 15:36:10",12.319863,56.143855,706239.084425846,6227054.58358491,"01-sailing"
"195","2021-11-14 15:36:12",12.319865,56.143927,706238.822835122,6227062.59805643,"01-sailing"
"196","2021-11-14 15:36:16",12.319887,56.144107,706239.224486273,6227082.68508749,"01-sailing"
"197","2021-11-14 15:36:18",12.319892,56.144143,706239.342072265,6227086.70428855,"01-sailing"
"198","2021-11-14 15:36:30",12.319947,56.144577,706240.431859756,6227135.14220432,"01-sailing"
"199","2021-11-14 15:36:39",12.319983,56.1449,706240.936540718,6227171.17686592,"01-sailing"
"200","2021-11-14 15:36:59",12.320097,56.145622,706244.146450261,6227251.8252385,"01-sailing"
"201","2021-11-14 15:37:10",12.320167,56.146015,706246.387021684,6227295.74764682,"01-sailing"
"202","2021-11-14 15:37:20",12.320222,56.14637,706247.899746579,6227335.39848331,"01-sailing"
"203","2021-11-14 15:37:39",12.320312,56.147052,706249.833212643,6227411.52591976,"01-sailing"
"204","2021-11-14 15:37:50",12.320362,56.14745,706250.804842993,6227455.94465376,"01-sailing"
"205","2021-11-14 15:37:59",12.32039,56.147773,706250.812360933,6227491.95539704,"01-sailing"
"206","2021-11-14 15:38:10",12.320435,56.148173,706251.462699093,6227536.5816351,"01-sailing"
"207","2021-11-14 15:38:20",12.320472,56.148535,706251.819915441,6227576.95723859,"01-sailing"
"208","2021-11-14 15:38:50",12.320552,56.149618,706250.982635258,6227697.65762982,"01-sailing"
"209","2021-11-14 15:38:59",12.320573,56.149945,706250.53386731,6227734.09235562,"01-sailing"
"210","2021-11-14 15:39:10",12.320615,56.150347,706250.986897026,6227778.93208732,"01-sailing"
"211","2021-11-14 15:39:20",12.320662,56.15071,706251.959321148,6227819.44884629,"01-sailing"
"212","2021-11-14 15:39:39",12.320767,56.151398,706254.790585396,6227896.28857568,"01-sailing"
"213","2021-11-14 15:39:50",12.320828,56.1518,706256.422940126,6227941.18516028,"01-sailing"
"214","2021-11-14 15:40:10",12.320925,56.152532,706258.521271896,6228022.89504872,"01-sailing"
"215","2021-11-14 15:40:20",12.32096,56.152895,706258.748316801,6228063.37591839,"01-sailing"
"216","2021-11-14 15:40:39",12.32102,56.15359,706258.747630776,6228140.85964183,"01-sailing"
"217","2021-11-14 15:40:50",12.32106,56.153992,706259.075869652,6228185.69341001,"01-sailing"
"218","2021-11-14 15:41:10",12.32115,56.154723,706260.744290743,6228267.27114871,"01-sailing"
"219","2021-11-14 15:41:20",12.321203,56.155093,706262.050909963,6228308.58448814,"01-sailing"
"220","2021-11-14 15:41:29",12.321253,56.155423,706263.385667427,6228345.43969021,"01-sailing"
"221","2021-11-14 15:41:39",12.321312,56.155792,706265.069972104,6228386.65975788,"01-sailing"
"222","2021-11-14 15:41:50",12.321377,56.156192,706266.960455397,6228431.34588323,"01-sailing"
"223","2021-11-14 15:41:59",12.321432,56.156522,706268.605387483,6228468.21605351,"01-sailing"
"224","2021-11-14 15:42:10",12.321503,56.156928,706270.835979763,6228513.58751318,"01-sailing"
"225","2021-11-14 15:42:20",12.321573,56.157295,706273.213500595,6228554.61804968,"01-sailing"
"226","2021-11-14 15:42:29",12.321618,56.157628,706274.221380581,6228591.79199311,"01-sailing"
"227","2021-11-14 15:42:40",12.321672,56.158033,706275.40180895,6228637.0013649,"01-sailing"
"228","2021-11-14 15:42:50",12.321715,56.158405,706276.076302156,6228678.50726304,"01-sailing"
"229","2021-11-14 15:42:59",12.32176,56.158745,706277.046466728,6228716.45981631,"01-sailing"
"230","2021-11-14 15:43:10",12.321817,56.159163,706278.343181812,6228763.12415109,"01-sailing"
"231","2021-11-14 15:43:20",12.321882,56.159547,706280.318696172,6228806.0306384,"01-sailing"
"232","2021-11-14 15:43:29",12.321933,56.159927,706281.44658536,6228848.45031802,"01-sailing"
"233","2021-11-14 15:43:40",12.321988,56.160302,706282.849494546,6228890.32582448,"01-sailing"
"234","2021-11-14 15:43:48",12.322037,56.160647,706284.040793494,6228928.84650471,"01-sailing"
"235","2021-11-14 15:43:59",12.322092,56.161033,706285.384567783,6228971.94553658,"01-sailing"
"236","2021-11-14 15:44:10",12.32216,56.161457,706287.331356122,6229019.31018182,"01-sailing"
"237","2021-11-14 15:44:18",12.322228,56.1618,706289.712447512,6229057.66527153,"01-sailing"
"238","2021-11-14 15:44:29",12.322323,56.16222,706293.356289724,6229104.66581102,"01-sailing"
"239","2021-11-14 15:44:40",12.322418,56.162603,706297.19843795,6229147.55087955,"01-sailing"
"240","2021-11-14 15:44:48",12.322485,56.162947,706299.511806099,6229186.01421898,"01-sailing"
"241","2021-11-14 15:44:59",12.322573,56.163332,706302.908543137,6229229.10080705,"01-sailing"
"242","2021-11-14 15:45:08",12.322647,56.163755,706305.232435575,6229276.37220665,"01-sailing"
"243","2021-11-14 15:45:18",12.322703,56.164098,706306.868190638,6229314.69140596,"01-sailing"
"244","2021-11-14 15:45:29",12.322777,56.164562,706308.971953094,6229366.52320798,"01-sailing"
"245","2021-11-14 15:45:40",12.32284,56.164948,706310.811318981,6229409.64621785,"01-sailing"
"246","2021-11-14 15:45:48",12.322893,56.165295,706312.239190532,6229448.40136338,"01-sailing"
"247","2021-11-14 15:45:59",12.322947,56.16564,706313.739784972,6229486.93704617,"01-sailing"
"248","2021-11-14 15:46:08",12.323018,56.166025,706316.080756878,6229529.9727813,"01-sailing"
"249","2021-11-14 15:46:18",12.323085,56.166412,706318.162662048,6229573.21900578,"01-sailing"
